Folio,Fecha,Ubicacion,Colonia,Hora,Tipo,COORDENADAS,Comentarios
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663875"" target=""_blank"">44663875</a>",19/04/2021,; 5TA CERRADA DE SANTA MARIA 3-A // SANTA LUCIA,FRACC JARDINES DE SANTA ROSA/PUEBLA/PUEBLA,00:01:30,VIOLENCIA CONTRA LA MUJER,"18.967022753473657, -98.24820124579422","CELL AV 141 PTE/AV 5 S, 112217, MENICONA PET QUE UN MASCULINO ESTA AGRESIVO Y, ESTA LLENA DE SANGRE, SOLICITA QUE ENVIEN UNA, UNIDAD DE POLICIA, YA SE HABIA ATENDIDO CON FOLIO :44662709 LA, PAREJA EN EL INTERIOR DE UN DOMICILIO EN COMP´LTO, ESTADO DE EBRIEDAD  ,,SALE MASCULINO AGRESIVO, INDICANDO QUE ELLOS NO SOLICITARON NINGUN, APOYO..INDICA CABINA ZONA 8 : REPORTA AL LUGAR, UNIDAD VP-809 ABORDO POL.CAPITAN HERANDEZ FATIMA, ESTEFANIA Y POL. BARRIOS CANALES JORGE MANUEL..., /////, ENTERADO TELMUJER CON ESTA HORA SE TOMA, CONOCIMIENTO DE ESTE FOLIO YA QUE LA LÍNEA ESTABA, OCUPADA, SE REALIZÓ LLAMADA DE CONTACTO EN 2 OCASIONES, PERO PETICIONARIA NO CONTESTÓ. SE CIERRA FOLIO, CON NOTAS DE POLICÍA, /////"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663876"" target=""_blank"">44663876</a>",19/04/2021,;15 PTE NUM 513 ESQ 7 SUR,PUEBLA CENTRO/PUEBLA/PUEBLA,00:01:31,PERSONA NO LOCALIZADA,"19.041318590231583, -98.20602661732306","INDICA QUE SU HIJO SE FUE DE LA CASA EL DIA, VIERNES 17/04/2021 A LAS 10:00 AM, INDICA SALIO CON UNA FEMENINA MAYOR DE EDAD, EL MENOR DE 17 AÑOS, ``DE NOMBRE LUIS ARTURO SANCHEZ RODRIGUEZ ``, LA DIRECCION  QUE APORTAN ES LA DIRECCION EN LA, CUAL EN ESTE MOMENTO ESTA ARROJANDO SU TELEFONO, POR LO QUE REQUIEREN DE POLICIA, SE INFORMA A EXT 10121, MIDE: 1.75, COMPLEXION:DELGADO, TEZ:MORENOÇ, CABELLO:ONDULADO,NEGRO,CORTO, OJOS:OBSCUROS, SEÑA PARTICULAR:;LUNAR ARRIBA DEL LABIO,LUNAR EN, EL CUELLO DE LADO IZQUIERDO, UNIDAD VP-H05  POL. S/P 3° HERNANDEZ OLGUIN, IGNACIO//POL. BLANCO RAMIREZ JUAN EDUARDO, VESTIMENTA: PANTALON DE MEZCLILLA CLARO,CAMISA, OBSCURA, CAHAMRRA TIPO MILITAR, LEGA UNIDAD VPH-05, SE INFORMA DE MANERA PRESENCIA, A SUPERVISION, UNIDAD VP-H05  POL. S/P 3° HERNANDEZ OLGUIN, IGNACIO//POL. BLANCO RAMIREZ JUAN EDUARDO, SE, ENTREVISTAN CON MIGUEL ÁNGEL SÁNCHEZ LÓPEZ CON, TEL 2211043647, MANIFIESTA QUE SU HIJO LUIS, ARTURO SÁNCHEZ RODRÍGUEZ DE 17 AÑOS DE EDAD SALE, EL VIERNES A LA S 11:00 HRS Y NO HA REGRESADO,, VÍA GPS DEL TELÉFONO MARCA EL LUGAR, DONDE NO, TIENEN NINGUNA INFORMACIÓN DEL MENOR, LE INDICAN, PROCEDIMIENTOS A SEGUIR., -, REC//// MIGUEL ANGEL SANCHEZ, SE LE PROPORCIONA, NUMERO DE REPORTE ASI COMO DE WATSHAPP PARA EL, ENVIO DE FOTOGRAFIA  DE SU FAMILIAR, SE LE HACE, MENCION QUE DEBE ACUDIR A LA  F.G.E. A REALIZAR, SU DENUNCIA DE PERSONA DESAPARECIDA, SE LE, TRANSFIERE A LOCATEL RECIBE OP. 4"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663890"" target=""_blank"">44663890</a>",19/04/2021,; VALLE DEL LAGO ESQ VALLE DE CUEN,LOMAS DEL VALLE/PUEBLA/PUEBLA,00:03:20,OTROS ACTOS RELACIONADOS CON LA SEGURIDAD COLECTIVA,"18.984458254619568, -98.1908541038329","VIA MEDIOS DE COMUNICACION REPORTAN, Y BUENO @NTELEVISAPUEBLA @NOTICIASTRIBUNA, @ULTRAPUEBLA @SSC_PUE @911PUEBLA @MBARBOSAMX, @RIVERAVIVANCO_ ALLÁ VOY COMO C/FINN REPORTO,, HASTA PARECE BURLA. POR LA ZONA DEL FRACC LOMAS, DEL VALLE, SE OYE PERFECTAMENTE TODOS LOS, DOMINGOS, EL SONIDERO A ÉSTA HORA. LAMENTABLE, UNIDAD  VP-911 ABORDO POL. DANIEL MOXO VERDAD Y, POL.MAGDALENA DE LA ROSA UBALDO, INFORMA LA UNIDAD EN EL PUNTO ES NEGATIVO DE LO, REFERIDO ,HACE EXTENSO RECORRIDO CON CODIGO, SONORO Y NADIE SALE A ENTREVISTARSE CON LOS, OFICIALES ,TOMAN EVIDENCIAS GRAFICAS Y CONTINUAN, CON RECORRIDO VP-911"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663891"" target=""_blank"">44663891</a>",19/04/2021,; 11 OTE ESQ 1084,AZCARATE/PUEBLA/PUEBLA,00:03:37,OTRAS ALARMAS DE EMERGENCIAS ACTIVADAS,"19.037119838453126, -98.19307767314116","DE ALARMAS GUARDIA AZUL, SONORA DE ROBO EN FARMACIA BENAVIDEZ, VP-635 A BORDO POL. MORALES GOMEZ DIEGO JESUS, //LOPEZ GARCIA JOSE RICARDO***** LA UNIDAD SE, ENCUENTRA SE CHECAN CHAPAS Y PUERTA DE LA FAMACIA, SE ENCUENTRA EN BUEEN ESTADO SE PROPORCIONAN, GRAFICAS Y QUEDANDO SIN NOVEDAD LA UNIDAD, CONTINUA SU RECORRIDO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663908"" target=""_blank"">44663908</a>",19/04/2021,; CORDILLERA ACONCAGUA 206 ESQUINA PROLONGACION DE LA AV TECNOLOGICO,FRACC MARAVILLAS/PUEBLA/PUEBLA,00:05:24,OTROS ACTOS RELACIONADOS CON LA SEGURIDAD COLECTIVA,"19.072843763595802, -98.16846330197713","DATOS PROPORCIONADOS DE 089, INDICA QUE HAY RUDIO POR SUS VECINOS, DESDE LAS 4 DE LA TARDE, TEL CEL //OK, UNIDAD VP-224 ABORDO LOS ELEMENTOS:  POL. LOZADA, GIRON VICTOR HUGO Y POL. SERRANO PARRA, ROGELIO***********UNIDAD LLEGA AL PUNTO HACE, RECORRIDO EXTENSO Y NEGATIVO DE ENCONTAR ALGUN, RUIDO EXCESIVO UNIDAD DEJA EL PUNTO SIN NOVEDAD, YA QUE SE MARCO A PETICIONARIO Y NO CONTESO, UNIDAD CONTINUA SU RECORRIDO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663917"" target=""_blank"">44663917</a>",19/04/2021,;TITANIO 4B,LOS HEROES/PUEBLA/PUEBLA,00:06:55,SOLICITUD DE OTROS SERVICIOS PUBLICOS,"18.97516137879086, -98.22572453081469","ZONA :    8 VECTOR:     804 UNIDAD :    VP-805, ELEMENTOS :    MILDRET DEL CARMEN RODRIGUEZ GOMEZ, REAL :  SI PRUEBA :       NO REPORTE POLICIAL :, EL LUGAR ESTÁ EN COMPLETA CALMA, ASI MISMO NADIE, REFIERE NADA. DESCRIPCION DE LOS HECHOS:, INDICAN DE DETONACIONES EN EL LUGAR DESPACHADOR :, JUAREZ RUIZ JUAN JOSE TIEMPO DE ATENCION :     20, MINUTOS ESTATUS**  CERRADO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663921"" target=""_blank"">44663921</a>",19/04/2021,; BLVD LKUIS SANCHEZ PONTON Y PRIVADA AQUILES SERDAN,FRACC ANZURES/PUEBLA/PUEBLA,00:10:00,SOLICITUD DE RONDIN,"19.02600454091396, -98.20155223081409","[CELL], REFIERE QUE NECESITA RONDINES, YA QUE AVECES SE QUIEREN BRINCAR, TEL CEL //OK, CELL AV 10 S/AV REVOLUCION (CALLE 25 OTE), 112187, JA 006 A BORDO POL.MAGAÑA VILLALBA YAHARA MARIA, //JUAREZ MENES MIGUEL ANGEL** SE DA CONOCIMIENTO, AL MANDO ASI MISMO SE REFORZARA CON RONDINES, FRECUENTES QUEDANDO SIN NOVEDAD LA UNIDAD, CONTINUA CON SU RECORRIDO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663928"" target=""_blank"">44663928</a>",19/04/2021,;PRIVADA D ELA 50 PTE 5002,JOSE CLEOTILDE DE TORRES RAMOS/PUEBLA/PUEBLA,00:10:57,PERSONA AGRESIVA,"19.072271383343548, -98.20154342501935","[CELL], INDCIA D EMASCULINO EL CUAL SUFRE DE SUS, FACUTLADES MENTALES, QUIERE INGRESAR A SU DOMICILIO, ESTA PATEANDO LA PUERTA, PIDE URGENTE DE POLICIA, (DURANTE LA LLAMADA  SE ESUCHAN GOLPES EN SU, PUERTA), UNIDAD  VP-424 PIÑA  ESPINOZA SANDRA Y DURAN, GÓMEZ LUIS ARTURO, 2DA LLADMA 222 323-9208 GPE REF DE MASCULINO AL, PARECER INDIGENTE TOCANDO LAS PUERTAS, UNIDAD  VP-424 PIÑA  ESPINOZA SANDRA Y DURAN, GÓMEZ LUIS ARTURO***********************LA UNIDAD, EN EL LUGAR INDICA SE ENTREVISTA CON EDER, CALDERON FLORES 2221551816 QUIN INDICA QUE UN, MASCULINO ESTABA TOCANDO SU DOMICILIO LA LLEGAR, AL PUNTO LA UNIDAD INIDCA SE TRATA DE UN, INDIGENTE SE LE RETIRA DEL LUGAR Y LA UNIDAD, CONTINUA SU RECORRIDO"
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663932"" target=""_blank"">44663932</a>",19/04/2021,; 4TO ANDADOR RETORNO 12 A SUR EDF 12006 DTO 3 ESQUINA PROLONGACION DE LA 14 SUR,INFONAVIT SAN JORGE/PUEBLA/PUEBLA,00:12:15,OTROS ACTOS RELACIONADOS CON LA SEGURIDAD COLECTIVA,"18.982598852524525, -98.2193579713193","REIFERE QUE SUS VECINOS TIENE MUCHO RUIDO, TEL CEL //OK, REPORTA LA UNIDAD SSC-702 ABORDO GAMA 7 POL.OSCAR, NOLASCO JIMENEZ// POL EDUARDO TEQUITLALPA, GUTIERREZ, AL EXTERIOR EN COMPLETA CALMA. NEGATIVO DE ALGUN, PETICIONARIO. ACTIVA CODIGOS SONOROS POR EL AREA., CONTINUANDO SU RECORRIDO."
"<a href=""http://192.168.5.8:66/cgi-bin/snweb?CAD.CH.HTML+44663934"" target=""_blank"">44663934</a>",19/04/2021,;ANDADOR VALLE DE LOS ROBLES ESQ CERRADA AZUCENAS,BOSQUES DE SAN SEBASTIAN/PUEBLA/PUEBLA,00:12:34,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,"19.0613456420086, -98.12963317314085","NO APORTA NUMERO DE CASA INDCIA DE MASCULINOS, INGIRIENDO BEBIDAS EN VIA PUBLICA Y ROMPIENDO, BOTELLAS, APROX. 8 MASCULINOS, EL CEL OK, ABORDO DE LA UNIDAD VP 302 SÁNCHEZ ROJAS ANDREA, MAGNOLIA//CRISTÓBAL BAUTISTA  AL LUGAR, EN EL LUGAR ABORDO DE LA UNIDAD VP 302 SÁNCHEZ, ROJAS ANDREA MAGNOLIA//CRISTÓBAL BAUTISTA JESÚS, MENCIONAN LOS OFICIALES YA LES REALIZARON LA, RECOMENDACION ASI MISMO YA SE RETIRAN LOS, MASCULINOS YA LOS OFICIALES CONTINUAN CON EL, RECORRIDO."
